forecast_date,predicted_value,confidence_lower,confidence_upper,model_type,created_at
1961-01-31,445.6358687367142,423.345873710005,467.9258637634234,sarima_auto,2025-09-24 18:38:45.596308
1961-02-28,420.39649105513894,394.23695168416197,446.5560304261159,sarima_auto,2025-09-24 18:38:45.596308
1961-03-31,449.2003221911145,419.83369178540715,478.5669525968218,sarima_auto,2025-09-24 18:38:45.596308
1961-04-30,491.84235543655217,460.3785448338986,523.3061660392058,sarima_auto,2025-09-24 18:38:45.596308
1961-05-31,503.3972233508917,470.38295800517636,536.4114886966071,sarima_auto,2025-09-24 18:38:45.596308
1961-06-30,566.8654745566332,532.7019745936033,601.0289745196632,sarima_auto,2025-09-24 18:38:45.596308
1961-07-31,654.2634283209336,619.2238804774228,689.3029761644444,sarima_auto,2025-09-24 18:38:45.596308
1961-08-31,638.6009277400043,602.8826357598774,674.3192197201312,sarima_auto,2025-09-24 18:38:45.596308
1961-09-30,540.8873357522597,504.634030293855,577.1406412106644,sarima_auto,2025-09-24 18:38:45.596308
1961-10-31,494.1303414259129,457.448654414271,530.8120284375548,sarima_auto,2025-09-24 18:38:45.596308
1961-11-30,423.33653339055076,386.3065167442372,460.36655003686434,sarima_auto,2025-09-24 18:38:45.596308
1961-12-31,465.5114857866643,428.1939339669265,502.8290376064021,sarima_auto,2025-09-24 18:38:45.596308
1962-01-31,479.29580109964263,433.5006828934819,525.0909193058034,sarima_auto,2025-09-24 18:38:45.596308
1962-02-28,454.18237970268063,405.1122697246852,503.2524896806761,sarima_auto,2025-09-24 18:38:45.596308
1962-03-31,483.0930842535502,431.15918455233276,535.0269839547677,sarima_auto,2025-09-24 18:38:45.596308
1962-04-30,525.8257991618157,471.8441601842369,579.8074381393944,sarima_auto,2025-09-24 18:38:45.596308
1962-05-31,537.4576101054224,481.8771846733946,593.0380355374502,sarima_auto,2025-09-24 18:38:45.596308
1962-06-30,600.9911471638965,544.1601356222089,657.822158705584,sarima_auto,2025-09-24 18:38:45.596308
1962-07-31,688.4444957134316,630.6122039898473,746.2767874370159,sarima_auto,2025-09-24 18:38:45.596308
1962-08-31,672.828997386431,614.1824681513721,731.4755266214898,sarima_auto,2025-09-24 18:38:45.596308
1962-09-30,575.1552866233483,515.835530247054,634.4750429996426,sarima_auto,2025-09-24 18:38:45.596308
1962-10-31,528.4321313567795,468.54704158388785,588.317221129671,sarima_auto,2025-09-24 18:38:45.596308
1962-11-30,457.6670356284338,397.2999946508139,518.0340766060536,sarima_auto,2025-09-24 18:38:45.596308
1962-12-31,499.8663503023296,439.0824481216384,560.6502524830208,sarima_auto,2025-09-24 18:38:45.596308
